"Supervisé","afzrzrfzzfeezf"
"Non supervisé","a"
"Régression","a"
"Classification","a"
"Méthodes splines","a"
"Clustering","a"
"Arbres","a"
"XGBoost","a"
"NN supervisés","a"
"NN non-supervisés","a"
"Clustering (supervisé)","a"
"Clustering (non supervisé)","a"
"GAM","a"
"PCA","a"
"KNN","a"
"Noyau de lissage","a"
"CART","a"
"RNN","a"
"MLP","a"
"DNN","a"
"CNN","a"
"LLM","a"
"SVM","a"
"SVR","a"
"Elasticnet","a"
"Ridge","a"
"Lasso","a"
"Régression de Poisson","a"
"Régression linéaire","a"
"Régression polynomiale","a"
